url,title,content,tokens
"https://news.ycombinator.com/","Hacker News","Hacker News

|     |     |     |
| --- | --- | --- |
| |     |     |     |
| --- | --- | --- |
| [![](https://news.ycombinator.com/y18.svg)](https://news.ycombinator.com/) | **[Hacker News](https://news.ycombinator.com/news)** [new](https://news.ycombinator.com/newest) \| [past](https://news.ycombinator.com/front) \| [comments](https://news.ycombinator.com/newcomments) \| [ask](https://news.ycombinator.com/ask) \| [show](https://news.ycombinator.com/show) \| [jobs](https://news.ycombinator.com/jobs) \| [submit](https://news.ycombinator.com/submit) | [login](https://news.ycombinator.com/login?goto=news) | |

| |     |     |     |
| --- | --- | --- |
| 1",165
"https://news.ycombinator.com/","Hacker News","|  | [GPT-5](http://openai.com/gpt-5) ( [openai.com](https://news.ycombinator.com/from?site=openai.com)) |
|  | 343 points by [rd](https://news.ycombinator.com/user?id=rd) [37 minutes ago](https://news.ycombinator.com/item?id=44826997) \| [hide](https://news.ycombinator.com/hide?id=44826997&goto=news) \| [205 comments](https://news.ycombinator.com/item?id=44826997) |

| 2",94
"https://news.ycombinator.com/","Hacker News","|  | [Building Bluesky Comments for My Blog](https://natalie.sh/posts/bluesky-comments/) ( [natalie.sh](https://news.ycombinator.com/from?site=natalie.sh)) |
|  | 111 points by [g0xA52A2A](https://news.ycombinator.com/user?id=g0xA52A2A) [1 hour ago](https://news.ycombinator.com/item?id=44826164) \| [hide](https://news.ycombinator.com/hide?id=44826164&goto=news) \| [41 comments](https://news.ycombinator.com/item?id=44826164) |

| 3",109
"https://news.ycombinator.com/","Hacker News","|  | [Infinite Pixels](https://meyerweb.com/eric/thoughts/2025/08/07/infinite-pixels/) ( [meyerweb.com](https://news.ycombinator.com/from?site=meyerweb.com)) |
|  | 175 points by [OuterVale](https://news.ycombinator.com/user?id=OuterVale) [4 hours ago](https://news.ycombinator.com/item?id=44824056) \| [hide](https://news.ycombinator.com/hide?id=44824056&goto=news) \| [39 comments](https://news.ycombinator.com/item?id=44824056) |

| 4",110
"https://news.ycombinator.com/","Hacker News","|  | [How to Sell if Your User is not the Buyer](https://writings.founderlabs.io/p/how-to-sell-if-your-user-is-not-the) ( [founderlabs.io](https://news.ycombinator.com/from?site=founderlabs.io)) |
|  | 64 points by [mooreds](https://news.ycombinator.com/user?id=mooreds) [2 hours ago](https://news.ycombinator.com/item?id=44825491) \| [hide](https://news.ycombinator.com/hide?id=44825491&goto=news) \| [40 comments](https://news.ycombinator.com/item?id=44825491) |

| 5",118
"https://news.ycombinator.com/","Hacker News","|  | [Lithium Reverses Alzheimer's in Mice](https://hms.harvard.edu/news/could-lithium-explain-treat-alzheimers-disease) ( [hms.harvard.edu](https://news.ycombinator.com/from?site=hms.harvard.edu)) |
|  | 61 points by [highfrequency](https://news.ycombinator.com/user?id=highfrequency) [2 hours ago](https://news.ycombinator.com/item?id=44825326) \| [hide](https://news.ycombinator.com/hide?id=44825326&goto=news) \| [37 comments](https://news.ycombinator.com/item?id=44825326) |

| 6",121
"https://news.ycombinator.com/","Hacker News","|  | [Ditching GitHub (2024)](https://tomscii.sig7.se/2024/01/Ditching-GitHub) ( [sig7.se](https://news.ycombinator.com/from?site=sig7.se)) |
|  | 35 points by [lr0](https://news.ycombinator.com/user?id=lr0) [1 hour ago](https://news.ycombinator.com/item?id=44826484) \| [hide](https://news.ycombinator.com/hide?id=44826484&goto=news) \| [29 comments](https://news.ycombinator.com/item?id=44826484) |

| 7",102
"https://news.ycombinator.com/","Hacker News","| ![](https://news.ycombinator.com/s.gif) | [Foundry (YC F24) Is Hiring Staff Level Product Engineers](https://www.ycombinator.com/companies/foundry/jobs/jwdYx6v-founding-product-engineer) ( [ycombinator.com](https://news.ycombinator.com/from?site=ycombinator.com)) |
|  | [37 minutes ago](https://news.ycombinator.com/item?id=44827003) \| [hide](https://news.ycombinator.com/hide?id=44827003&goto=news) |

| 8",103
"https://news.ycombinator.com/","Hacker News","|  | [GPT-5 System Card](https://openai.com/index/gpt-5-system-card) ( [openai.com](https://news.ycombinator.com/from?site=openai.com)) |
|  | 29 points by [6thbit](https://news.ycombinator.com/user?id=6thbit) [34 minutes ago](https://news.ycombinator.com/item?id=44827046) \| [hide](https://news.ycombinator.com/hide?id=44827046&goto=news) \| [7 comments](https://news.ycombinator.com/item?id=44827046) |

| 9",103
"https://news.ycombinator.com/","Hacker News","|  | [Live: GPT-5](https://www.youtube.com/watch?v=0Uu_VJeVVfo) ( [youtube.com](https://news.ycombinator.com/from?site=youtube.com)) |
|  | 162 points by [georgehill](https://news.ycombinator.com/user?id=georgehill) [1 hour ago](https://news.ycombinator.com/item?id=44826463) \| [hide](https://news.ycombinator.com/hide?id=44826463&goto=news) \| [101 comments](https://news.ycombinator.com/item?id=44826463) |

| 10",104
